ss,article,name,value,score
ss_283759,Jeans and jeggings,category,apparel,0.9982817
ss_283759,Jeans and jeggings,apparel,lower_body_garment,0.9913137
ss_283759,Jeans and jeggings,lower_body_garment,jeans,0.9571823
ss_283759,Jeans and jeggings,product_pattern,solid,0.9439504
ss_283759,Jeans and jeggings,denim_wash_color,light,0.8620234
ss_283759,Jeans and jeggings,pants_fit_type,straight_loose,0.6524074
ss_283759,Jeans and jeggings,product_color,blue,0.5942406
ss_283759,Jeans and jeggings,lower_body_length,calf_length,0.5709345
ss_283759,Jeans and jeggings,rise_type,mid_rise,0.2817308
ss_283759,Jeans and jeggings,category,apparel,0.9997248
ss_283759,Outerwear,category,apparel,0.9997248
ss_283759,Outerwear,apparel,upper_body_garment,0.9928818
ss_283759,Outerwear,sleeve_style,straight,0.9725022
ss_283759,Outerwear,upper_body_length,regular,0.8838700
ss_283759,Outerwear,upper_body_garment,top,0.8812867
ss_283759,Outerwear,neckline,funnel_neck,0.8689328
ss_283759,Outerwear,sleeve_length,long,0.8089560
ss_283759,Outerwear,closure_type,pullover,0.5634032
ss_283759,Outerwear,product_color,black,0.5583768
ss_283759,Outerwear,product_pattern,solid,0.4792090
ss_283759,Footwear,toe_type,closed_toe,0.9990827
ss_283759,Footwear,category,footwear,0.9920560
ss_283759,Footwear,footwear,boots,0.9880656
ss_283759,Footwear,product_pattern,solid,0.9036689
ss_283759,Footwear,boots,knee_high_boots,0.6787524
ss_283759,Footwear,heel_type,chunky,0.6757371
ss_283759,Footwear,toe_shape,pointed,0.4994346
ss_283759,Footwear,heel_height,mid,0.4464183
ss_283759,Footwear,product_color,black,0.2366971
ss_300070,Trousers,pants_fit_type,wide_leg,0.9963289
ss_300070,Trousers,category,apparel,0.9839900
ss_300070,Trousers,apparel,lower_body_garment,0.9167446
ss_300070,Trousers,product_pattern,plaid,0.9025115
ss_300070,Trousers,lower_body_garment,pants,0.7578457
ss_300070,Trousers,product_color,multi,0.7260503
ss_300070,Trousers,lower_body_length,full_length,0.6306562
ss_300070,Trousers,pants_type,straight_leg_pants,0.3442748
ss_300070,Tops,sleeve_length,long,0.9993116
ss_300070,Tops,category,apparel,0.9912671
ss_300070,Tops,sleeve_style,straight,0.9203449
ss_300070,Tops,apparel,upper_body_garment,0.8475885
ss_300070,Tops,product_pattern,plaid,0.8433813
ss_300070,Tops,neckline,funnel_neck,0.8361483
ss_300070,Tops,closure_type,pullover,0.7721846
ss_300070,Tops,upper_body_length,regular,0.7705817
ss_300070,Tops,product_color,black,0.6949813
ss_300070,Tops,upper_body_garment,top,0.5592920
ss_300070,Footwear,category,footwear,0.8321653
ss_300070,Footwear,product_pattern,solid,0.7537677
ss_300070,Footwear,footwear,sandals,0.5942040
ss_300070,Footwear,product_color,black,0.5263310
ss_300070,Footwear,heel_type,other,0.4585654
ss_300070,Footwear,heel_height,low,0.4049615
ss_300070,Footwear,sandal_type,ankle_strap_sandals,0.2184455
ss_300070,Footwear,sandals,flat_sandals,0.1756428
ss_291488,Tops,category,apparel,0.9994479
ss_291488,Tops,apparel,upper_body_garment,0.9868079
ss_291488,Tops,upper_body_length,regular,0.9423732
ss_291488,Tops,upper_body_garment,top,0.9003478
ss_291488,Tops,sleeve_length,long,0.8847363
ss_291488,Tops,product_pattern,solid,0.8816249
ss_291488,Tops,sleeve_style,straight,0.8160641
ss_291488,Tops,closure_type,pullover,0.7311056
ss_291488,Tops,neckline,turtleneck,0.4031880
ss_291488,Tops,product_color,black,0.3065476
ss_291488,Jeans,lower_body_length,full_length,0.9973634
ss_291488,Jeans,category,apparel,0.9972475
ss_291488,Jeans,apparel,lower_body_garment,0.9898459
ss_291488,Jeans,lower_body_garment,jeans,0.9445006
ss_291488,Jeans,pants_fit_type,skinny,0.9259840
ss_291488,Jeans,product_color,grey,0.7024514
ss_291488,Jeans,denim_wash_color,medium,0.4653141
ss_291488,Jeans,product_pattern,solid,0.4597313
ss_291488,Jeans,rise_type,high_rise,0.3460675
ss_291488,Footwear,category,footwear,0.9527575
ss_291488,Footwear,product_pattern,solid,0.6289055
ss_291488,Footwear,shoe_closure,lace,0.5923778
ss_291488,Footwear,footwear,sneakers,0.4143179
ss_291488,Footwear,sneakers,lifestyle_sneakers,0.3182000
ss_291488,Footwear,product_color,grey,0.1986908
ss_276952,Tops,sleeve_length,three_quarter,0.9998268
ss_276952,Tops,upper_body_length,regular,0.9979782
ss_276952,Tops,category,apparel,0.9924327
ss_276952,Tops,product_pattern,solid,0.9848045
ss_276952,Tops,apparel,upper_body_garment,0.9545230
ss_276952,Tops,sleeve_style,straight,0.9190851
ss_276952,Tops,product_color,black,0.6430897
ss_276952,Tops,upper_body_garment,blouse,0.5943682
ss_276952,Tops,neckline,funnel_neck,0.2268528
ss_276952,Jeans,lower_body_length,full_length,0.9737368
ss_276952,Jeans,category,apparel,0.9660599
ss_276952,Jeans,product_pattern,solid,0.7892151
ss_276952,Jeans,apparel,full_body_garment,0.5193846
ss_276952,Jeans,product_color,blue,0.4068140
ss_276952,Jeans,full_body_garment,dungaree,0.3097164
ss_276952,Jeans,neckline,collar,0.0905837
ss_276952,Bags,category,bag,0.7470940
ss_276952,Bags,bag,shoulder_bag_totes,0.7244143
ss_276952,Bags,product_color,multi,0.6109873
ss_276952,Bags,product_pattern,floral,0.5439701
ss_276952,Bags,top_handle_bag,0.1675050
ss_276952,Footwear,toe_type,closed_toe,0.9526505
ss_276952,Footwear,category,footwear,0.9042585
ss_276952,Footwear,footwear,boots,0.7658834
ss_276952,Footwear,product_pattern,solid,0.6796520
ss_276952,Footwear,heel_type,other,0.5421091
ss_276952,Footwear,boots,ankle_boots,0.4642057
ss_276952,Footwear,heel_height,flat,0.4104218
ss_276952,Footwear,toe_shape,pointed,0.4091051
ss_276952,Footwear,product_color,black,0.2616335
ss_266662,Tops,category,apparel,0.9881811
ss_266662,Tops,upper_body_length,crop,0.9665268
ss_266662,Tops,sleeve_length,three_quarter,0.9529429
ss_266662,Tops,sleeve_style,straight,0.9032032
ss_266662,Tops,apparel,upper_body_garment,0.8997462
ss_266662,Tops,neckline,funnel_neck,0.7259607
ss_266662,Tops,product_pattern,solid,0.7204069
ss_266662,Tops,upper_body_garment,top,0.4999889
ss_266662,Tops,closure_type,pullover,0.4727190
ss_266662,Tops,product_color,brown,0.4485498
ss_266662,Trousers,lower_body_length,full_length,0.9968414
ss_266662,Trousers,category,apparel,0.9912159
ss_266662,Trousers,apparel,lower_body_garment,0.9648648
ss_266662,Trousers,pants_fit_type,wide_leg,0.8257562
ss_266662,Trousers,lower_body_garment,pants,0.7333789
ss_266662,Trousers,product_pattern,solid,0.7294272
ss_266662,Trousers,product_color,white,0.6744403
ss_266662,Trousers,rise_type,high_rise,0.3403450
ss_266662,Trousers,pants_type,straight_leg_pants,0.3288721
ss_266662,Footwear,category,footwear,0.9975985
ss_266662,Footwear,footwear,sandals,0.9932048
ss_266662,Footwear,sandals,flat_sandals,0.9520367
ss_266662,Footwear,heel_type,other,0.9131258
ss_266662,Footwear,heel_height,flat,0.8315681
ss_266662,Footwear,product_pattern,solid,0.4192333
ss_266662,Footwear,shoe_decoration,studded_decoration,0.3739772
ss_266662,Footwear,product_color,black,0.3039033
ss_266662,Footwear,sandal_type,t_bar_sandals,0.2872523
ss_281037,Tops,sleeve_length,three_quarter,0.9804341
ss_281037,Tops,category,apparel,0.9665257
ss_281037,Tops,product_pattern,solid,0.8389236
ss_281037,Tops,apparel,upper_body_garment,0.8015690
ss_281037,Tops,product_color,black,0.7529800
ss_281037,Tops,sleeve_style,cold_shoulder,0.5425521
ss_281037,Tops,upper_body_length,regular,0.4852124
ss_281037,Tops,neckline,funnel_neck,0.4845613
ss_281037,Tops,upper_body_garment,top,0.3895310
ss_281037,Tops,closure_type,double_breasted,0.3827699
ss_281037,Bags,category,bag,0.9913816
ss_281037,Bags,bag,shoulder_bag_totes,0.9885945
ss_281037,Bags,shoulder_bag_totes,top_handle_bag,0.6275534
ss_281037,Bags,product_pattern,solid,0.5083135
ss_281037,Bags,product_color,black,0.2517253
ss_281037,Trousers,product_pattern,plaid,0.6553651
ss_281037,Trousers,product_color,grey,0.3041646
ss_281037,Trousers,shoulder_bag_totes,top_handle_bag,0.2627812
ss_281037,Footwear,category,footwear,0.9984598
ss_281037,Footwear,heel_type,chunky,0.9914114
ss_281037,Footwear,toe_type,closed_toe,0.9878526
ss_281037,Footwear,footwear,boots,0.9809442
ss_281037,Footwear,boots,ankle_boots,0.9761572
ss_281037,Footwear,product_pattern,solid,0.6988071
ss_281037,Footwear,toe_shape,round,0.5888039
ss_281037,Footwear,heel_height,mid,0.5356273
ss_281037,Footwear,shoe_decoration,bow_decoration,0.2459379
ss_281037,Footwear,product_color,black,0.2170451
ss_279293,Trousers,lower_body_length,calf_length,0.9998336
ss_279293,Trousers,pants_fit_type,wide_leg,0.9997330
ss_279293,Trousers,category,apparel,0.9905007
ss_279293,Trousers,apparel,lower_body_garment,0.9683744
ss_279293,Trousers,pants_type,culottes_pants,0.8905515
ss_279293,Trousers,product_color,blue,0.7033757
ss_279293,Trousers,rise_type,high_rise,0.5267001
ss_279293,Trousers,product_pattern,solid,0.4938837
ss_279293,Trousers,lower_body_garment,pants,0.4843496
ss_279293,Footwear,toe_type,closed_toe,0.9999975
ss_279293,Footwear,category,footwear,0.9780427
ss_279293,Footwear,toe_shape,round,0.9451113
ss_279293,Footwear,footwear,boots,0.9066621
ss_279293,Footwear,boots,ankle_boots,0.7643974
ss_279293,Footwear,heel_height,flat,0.6355952
ss_279293,Footwear,product_pattern,solid,0.5488747
ss_279293,Footwear,heel_type,other,0.5238599
ss_279293,Footwear,product_color,red,0.4831754
ss_279293,Outerwear,category,apparel,0.9969811
ss_279293,Outerwear,apparel,upper_body_garment,0.9380065
ss_279293,Outerwear,sleeve_length,long,0.9299129
ss_279293,Outerwear,upper_body_garment,top,0.7930270
ss_279293,Outerwear,neckline,crew_neck,0.7390126
ss_279293,Outerwear,product_color,blue,0.5829853
ss_279293,Outerwear,sleeve_style,bell_sleeve,0.5699089
ss_279293,Outerwear,upper_body_length,regular,0.5045159
ss_279293,Outerwear,product_pattern,solid,0.4319900
ss_285196,Outerwear,upper_body_length,crop,0.9956635
ss_285196,Outerwear,category,apparel,0.9817029
ss_285196,Outerwear,sleeve_length,sleeveless,0.9736217
ss_285196,Outerwear,apparel,upper_body_garment,0.7900860
ss_285196,Outerwear,sleeve_style,flared,0.6056418
ss_285196,Outerwear,neckline,funnel_neck,0.5837521
ss_285196,Outerwear,product_color,pink,0.5442062
ss_285196,Outerwear,upper_body_garment,blouse,0.4745080
ss_285196,Outerwear,product_pattern,solid,0.4378133
ss_285196,Jeans,category,apparel,0.9970717
ss_285196,Jeans,apparel,lower_body_garment,0.9851109
ss_285196,Jeans,lower_body_length,full_length,0.9766771
ss_285196,Jeans,pants_fit_type,wide_leg,0.9573613
ss_285196,Jeans,lower_body_garment,jeans,0.9489732
ss_285196,Jeans,product_pattern,solid,0.8357089
ss_285196,Jeans,product_color,blue,0.5575093
ss_285196,Jeans,denim_wash_color,dark,0.5316675
ss_285196,Jeans,rise_type,low_rise,0.3706980
ss_285196,Bags,category,bag,0.9922879
ss_285196,Bags,bag,shoulder_bag_totes,0.9900396
ss_285196,Bags,shoulder_bag_totes,top_handle_bag,0.8803287
ss_285196,Bags,product_pattern,other,0.4918925
ss_285196,Bags,product_color,blue,0.4627528
ss_285196,Footwear,toe_type,closed_toe,0.9999961
ss_285196,Footwear,category,footwear,0.9922804
ss_285196,Footwear,footwear,shoes,0.9713694
ss_285196,Footwear,toe_shape,pointed,0.9626055
ss_285196,Footwear,shoes,flat_shoes,0.9105422
ss_285196,Footwear,product_pattern,solid,0.8728951
ss_285196,Footwear,shoe_closure,slip_on,0.7868260
ss_285196,Footwear,heel_type,other,0.7319819
ss_285196,Footwear,heel_height,low,0.4213662
ss_285196,Footwear,shoe_type,ballerinas,0.3384123
ss_285196,Footwear,product_color,grey,0.3021808
ss_261514,Outerwear,sleeve_length,long,0.9999249
ss_261514,Outerwear,category,apparel,0.9919406
ss_261514,Outerwear,upper_body_length,regular,0.8722007
ss_261514,Outerwear,apparel,upper_body_garment,0.8279673
ss_261514,Outerwear,neckline,funnel_neck,0.5379717
ss_261514,Outerwear,sleeve_style,bell_sleeve,0.4765320
ss_261514,Outerwear,product_pattern,animal_print,0.4374507
ss_261514,Outerwear,upper_body_garment,sweater,0.3695577
ss_261514,Outerwear,sweater_style,ruffle,0.2847782
ss_261514,Outerwear,product_color,white,0.2622210
ss_261514,Jeans,lower_body_length,full_length,0.9999584
ss_261514,Jeans,pants_fit_type,skinny,0.9871281
ss_261514,Jeans,product_pattern,solid,0.8294120
ss_261514,Jeans,category,apparel,0.7847313
ss_261514,Jeans,apparel,lower_body_garment,0.6929386
ss_261514,Jeans,denim_wash_color,dark,0.5580974
ss_261514,Jeans,product_color,blue,0.4727196
ss_261514,Jeans,lower_body_garment,jeans,0.4472790
ss_261514,Bags,category,bag,0.9954535
ss_261514,Bags,bag,shoulder_bag_totes,0.9919457
ss_261514,Bags,product_color,silver,0.9760923
ss_261514,Bags,shoulder_bag_totes,crossbody_bag,0.8147915
ss_261514,Bags,product_pattern,stripes,0.5746673
ss_261514,Footwear,toe_type,closed_toe,0.9992527
ss_261514,Footwear,product_pattern,solid,0.9345998
ss_261514,Footwear,heel_type,other,0.9236208
ss_261514,Footwear,heel_height,flat,0.8342571
ss_261514,Footwear,category,footwear,0.7669182
ss_261514,Footwear,shoe_closure,slip_on,0.6530095
ss_261514,Footwear,toe_shape,pointed,0.6366760
ss_261514,Footwear,footwear,shoes,0.5884798
ss_261514,Footwear,shoes,flat_shoes,0.5172821
ss_261514,Footwear,shoe_decoration,tassel_fringe_decoration,0.3873695
ss_261514,Footwear,shoe_type,loafer_shoes,0.2328489
ss_261514,Footwear,product_color,black,0.2124607
ss_262730,Tops,category,apparel,0.9848651
ss_262730,Tops,closure_type,button,0.9723032
ss_262730,Tops,upper_body_length,crop,0.9487658
ss_262730,Tops,apparel,upper_body_garment,0.9415753
ss_262730,Tops,sleeve_length,three_quarter,0.9250687
ss_262730,Tops,product_pattern,ombre,0.9035669
ss_262730,Tops,sleeve_style,straight,0.9010018
ss_262730,Tops,neckline,v_neck,0.7769075
ss_262730,Tops,product_color,white,0.7337727
ss_262730,Tops,upper_body_garment,blouse,0.6386091
ss_262730,Jeans,category,apparel,0.9987290
ss_262730,Jeans,apparel,lower_body_garment,0.9883810
ss_262730,Jeans,lower_body_garment,jeans,0.9706021
ss_262730,Jeans,denim_wash_color,dark,0.9406367
ss_262730,Jeans,product_pattern,solid,0.8410884
ss_262730,Jeans,product_color,blue,0.8370343
ss_262730,Jeans,lower_body_length,full_length,0.8205500
ss_262730,Jeans,pants_fit_type,wide_leg,0.6862643
ss_262730,Jeans,rise_type,mid_rise,0.3030676
ss_262730,Footwear,category,footwear,0.9384177
ss_262730,Footwear,footwear,sneakers,0.7780848
ss_262730,Footwear,shoe_closure,lace,0.7379119
ss_262730,Footwear,sneakers,lifestyle_sneakers,0.7070094
ss_262730,Footwear,product_pattern,solid,0.6473736
ss_262730,Footwear,product_color,white,0.6226182
ss_262941,Jeans,lower_body_length,full_length,0.9999236
ss_262941,Jeans,category,apparel,0.9884346
ss_262941,Jeans,apparel,lower_body_garment,0.9470022
ss_262941,Jeans,denim_wash_color,dark,0.8771946
ss_262941,Jeans,lower_body_garment,jeans,0.8611408
ss_262941,Jeans,product_pattern,solid,0.8327175
ss_262941,Jeans,product_color,blue,0.7657124
ss_262941,Jeans,pants_fit_type,straight_loose,0.4740385
ss_262941,Jeans,rise_type,high_rise,0.2577885
ss_262941,Tops,category,apparel,0.9672149
ss_262941,Tops,upper_body_length,crop,0.9659905
ss_262941,Tops,sleeve_length,sleeveless,0.9549639
ss_262941,Tops,product_color,white,0.7886313
ss_262941,Tops,apparel,upper_body_garment,0.7763042
ss_262941,Tops,neckline,halter_neck,0.6888791
ss_262941,Tops,product_pattern,other,0.5951498
ss_262941,Tops,closure_type,button,0.5609040
ss_262941,Tops,upper_body_garment,top,0.5264103
ss_262941,Bags,category,bag,0.9498240
ss_262941,Bags,bag,shoulder_bag_totes,0.9282985
ss_262941,Bags,product_color,multi,0.5250270
ss_262941,Bags,product_pattern,solid,0.3575053
ss_262941,Bags,shoulder_bag_totes,hobo_bag,0.3126583
ss_262941,Sunglasses,category,accessory,0.9800544
ss_262941,Sunglasses,accessory,eyewear,0.9770190
ss_262941,Footwear,toe_type,closed_toe,0.9999911
ss_262941,Footwear,category,footwear,0.9830798
ss_262941,Footwear,footwear,shoes,0.9558833
ss_262941,Footwear,toe_shape,pointed,0.9479020
ss_262941,Footwear,shoes,flat_shoes,0.9235424
ss_262941,Footwear,heel_type,other,0.9232939
ss_262941,Footwear,shoe_closure,slip_on,0.5789195
ss_262941,Footwear,heel_height,flat,0.5083131
ss_262941,Footwear,shoe_type,ballerinas,0.4580989
ss_262941,Footwear,product_pattern,solid,0.3015955
ss_262941,Footwear,product_color,beige,0.1559578
ss_272091,Jeans,lower_body_length,full_length,0.9997409
ss_272091,Jeans,category,apparel,0.9769581
ss_272091,Jeans,apparel,lower_body_garment,0.9009749
ss_272091,Jeans,denim_wash_color,dark,0.8480844
ss_272091,Jeans,product_pattern,solid,0.8168736
ss_272091,Jeans,product_color,blue,0.7176620
ss_272091,Jeans,lower_body_garment,jeans,0.5910148
ss_272091,Jeans,pants_fit_type,skinny,0.4976316
ss_272091,Jeans,rise_type,mid_rise,0.2896149
ss_272091,Tops,category,apparel,0.9812176
ss_272091,Tops,product_pattern,solid,0.9113623
ss_272091,Tops,sleeve_style,straight,0.8581303
ss_272091,Tops,upper_body_length,thigh_length,0.6229591
ss_272091,Tops,closure_type,zip,0.6193360
ss_272091,Tops,sleeve_length,long,0.5580609
ss_272091,Tops,product_color,black,0.3917993
ss_272091,Tops,apparel,upper_body_garment,0.3891977
ss_272091,Tops,upper_body_garment,top,0.2696584
ss_272091,Tops,neckline,v_neck,0.2556153
ss_272091,Footwear,category,shoes,0.7122796
ss_272091,Footwear,product_pattern,geometric,0.6944051
ss_272091,Footwear,product_color,black,0.5469588
ss_298433,Outerwear,sleeve_length,sleeveless,0.9965855
ss_298433,Outerwear,category,apparel,0.9912302
ss_298433,Outerwear,product_pattern,solid,0.9645793
ss_298433,Outerwear,apparel,upper_body_garment,0.9531257
ss_298433,Outerwear,upper_body_length,crop,0.9272407
ss_298433,Outerwear,product_color,red,0.8223640
ss_298433,Outerwear,upper_body_garment,tank_top,0.7267531
ss_298433,Outerwear,closure_type,zip,0.6692911
ss_298433,Outerwear,sleeve_style,shoulder_strap,0.5949468
ss_298433,Outerwear,neckline,scoop,0.5501284
ss_298433,Jeans,category,apparel,0.9877266
ss_298433,Jeans,lower_body_length,full_length,0.9763004
ss_298433,Jeans,pants_fit_type,straight_loose,0.9214724
ss_298433,Jeans,apparel,lower_body_garment,0.8771558
ss_298433,Jeans,lower_body_garment,jeans,0.7820272
ss_298433,Jeans,product_pattern,solid,0.7191930
ss_298433,Jeans,denim_wash_color,dark,0.6044299
ss_298433,Jeans,rise_type,low_rise,0.4008377
ss_298433,Jeans,product_color,blue,0.3647323
ss_298433,Bags,category,bag,0.9916456
ss_298433,Bags,bag,shoulder_bag_totes,0.9856601
ss_298433,Bags,product_color,multi,0.5898131
ss_298433,Bags,shoulder_bag_totes,crossbody_bag,0.5827242
ss_298433,Bags,product_pattern,other,0.4931863
ss_298433,Footwear,product_pattern,solid,0.8786500
ss_298433,Footwear,product_color,pink,0.6183931
ss_271318,Jeans,lower_body_length,full_length,0.9976079
ss_271318,Jeans,category,apparel,0.9784972
ss_271318,Jeans,apparel,lower_body_garment,0.8956754
ss_271318,Jeans,lower_body_garment,jeans,0.7741507
ss_271318,Jeans,denim_wash_color,dark,0.7122736
ss_271318,Jeans,pants_fit_type,straight_loose,0.5504298
ss_271318,Jeans,product_color,blue,0.3897400
ss_271318,Jeans,product_pattern,other,0.3888267
ss_271318,Jeans,rise_type,low_rise,0.2978918
ss_271318,Outerwear,category,apparel,0.9930420
ss_271318,Outerwear,sleeve_length,long,0.9401051
ss_271318,Outerwear,apparel,outerwear,0.8039106
ss_271318,Outerwear,upper_body_length,crop,0.7779465
ss_271318,Outerwear,outerwear,cardigan,0.7272922
ss_271318,Outerwear,product_color,beige,0.3422594
ss_271318,Outerwear,product_pattern,solid,0.2920536
ss_271318,Outerwear,neckline,crew_neck,0.2179849
ss_315719,Outerwear,sleeve_length,short,0.9999093
